Timestamp,Date,PDF Page Number,"PDF Start Page
",Number/team,Surveyor Name,Survey Code,Survey Number,Region/City,Latitude,Longitude,1. Age - Transcribed,Age - Coded,2. Gender,3. Number of Household Occupants,4. Number of individuals making an income in household,Fraction of HH working,5. Number of household that will use the panel,Fraction of HH will use panel,6. Occupation - Transcription,Household occupations - Coded,7. Other common occupations - Transcription,Other common occupation - Coded,8. Average Income - Transcription,Average Income - Coded (per 2 weeks),Average income per week,Income per HH member,Are there any additional comments/notes for this section?,9. Does household have access to electricity?,"9a. If yes, how is it used? - Transcription","9b. If yes, how is it used? - Coded",9b. How much does this cost? - Transcription,How much does this cost? - Coded (per 2 weeks),10. Is there lighting after dark?,"10a. If yes, how is it used? -  Transcription","If yes, how is it used - Coded",10b. How much does this cost? - Transcription,How much does this cost? - Coded (per 2 weeks),11. Number of people in household with cellphones,Percent of HH,"11a. If more than 0, how are they charged? - Transcription","If more than 0, how are the charged? - Coded",11b. How much does this cost? - Transcription,How much does this cost? - Coded (per charge),"13. Satisfaction with the following topics, with (1) being not satisfied at all and (5) being very satisfied. [a. Leisure]","13. Satisfaction with the following topics, with (1) being not satisfied at all and (5) being very satisfied. [b. Education]","13. Satisfaction with the following topics, with (1) being not satisfied at all and (5) being very satisfied. [c. Medical]","13. Satisfaction with the following topics, with (1) being not satisfied at all and (5) being very satisfied. [d. Chores/housework]","13. Satisfaction with the following topics, with (1) being not satisfied at all and (5) being very satisfied. [e. Occupation]","13. Satisfaction with the following topics, with (1) being not satisfied at all and (5) being very satisfied. [f. Finding food/water]",Are there any additional comments/notes for this section?,14a. What electric appliances do you have/use? [Television/DVD/Radio],14a. What electric appliances do you have/use? [Refrigeration],14a. What electric appliances do you have/use? [Heating/Cooling],14a. What electric appliances do you have/use? [Lighting],14a. What electric appliances do you have/use? [Cell phone charging],14a. What electric appliances do you have/use? [Cooking],14a. What electric appliances do you have/use? [Irrigation/Water use],14a. What electric appliances do you have/use? [Other],14b. What additional appliances does the household want to power with electricity that may not have been listed? [Television/DVD/Radio],14b. What additional appliances does the household want to power with electricity that may not have been listed? [Refrigeration],14b. What additional appliances does the household want to power with electricity that may not have been listed? [Heating/Cooling],14b. What additional appliances does the household want to power with electricity that may not have been listed? [Lighting],14b. What additional appliances does the household want to power with electricity that may not have been listed? [Cell phone charging],14b. What additional appliances does the household want to power with electricity that may not have been listed? [Cooking],14b. What additional appliances does the household want to power with electricity that may not have been listed? [Irrigation/Water use],14b. What additional appliances does the household want to power with electricity that may not have been listed? [Other],Are there any additional comments/notes for this section?
2/6/2020 14:49,8/20/2019,57 - 58,57,#1,Estelle,502_201908,30,Department of Chimaltenango (Labor de Falla),14.71862,-90.806116,38,25-54,Female,5,2,0.4,1,0.2,cocinera,Food services,Empacador de verduras,Food processing factory worker,mes Q 1300,650,325,65,,Yes,gited ~ 1.5 yrs from neighbor,,,0,,,,,,2,40%,con vecinos,Borrowed electricity from neighbors/family,Sin pago,0,1,2,5,2,4,4,,,,,,,,,,,,,,Cell phone charging,,,,"15. Mayor tamano de panel solar, use blender & speaker/radio, 4 kids -> 2 working, 2 studying, feminine care & dental care needed"
2/6/2020 15:29,8/21/2019,51 - 52,51,#2,Giovanni,502_201908,29,Department of Sacatepéquez (Santa Maria de Jesus),14.484026,-90.708567,45,25-54,Female,4,1,0.25,1,0.25,Albanil,Construction worker/builder,Asisten a la Iglesia Ecangelica,Help at church,Q300/mes Q600,300,150,37.5,,Yes,,,,,Yes,En la cocina,Chores/housework,,,3,75%,Con la planta electrica,Generator,,,1,3,3,4,4,3,,,,,,Cell phone charging,Cooking,,,Television/DVD/Radio,,Heating/Cooling,,,,,Other,"14. Microhondas, 15. TV * DVD player, hot plate"
2/6/2020 15:01,8/21/2019,55 - 56,55,#3,Giovanni,502_201908,1,Department of Sacatepéquez (Santa Maria de Jesus),14.484026,-90.708567,25,25-54,Female,4,1,0.25,1,0.25,Ayudante de Bus,Bus driver/transportation,La esposa hace tejidos,Makes clothes,Q800/mes,400,200,50,,No,,,,,,,,,,2,50%,con los vecinos cuando pueden,Borrowed electricity from neighbors/family,,,1,3,1,4,2,2,,,,,,Cell phone charging,Cooking,,,,Refrigeration,,,,,,,"14. Refrigedradora, 15. Si"
2/6/2020 15:08,8/21/2019,53 - 54,53,"#4, new CRI House",Estelle,502_201908,14,Department of Sacatepéquez (Santa Maria de Jesus),14.484026,-90.708567,31,25-54,Female,4,1,0.25,2,0.5,domestic / gardener,"Gardener, Domestic work",asemblers,Factory assembler,1000 q/mes,500,250,62.5,,No,,,,,,,,,,1,25%,neighbors,Borrowed electricity from neighbors/family,no charge,0,1,4,4,4,4,4,,,,,,,,,,Television/DVD/Radio,,,Lighting,Cell phone charging,Cooking,,,"14. TV, light, carga de celluar, cocina"
2/6/2020 14:25,8/21/2019,61 - 62,61,"#5, new CRI house",Estelle,502_201908,2,Department of Sacatepéquez (Santa Maria de Jesus),14.497693,-90.711241,40,25-54,Female,7,1,0.142857143,1,0.142857143,agricultrual,Farming (general/not specified),,,500 q/mes,250,125,17.85714286,,No,,,,,,,,,,0,0%,,,,,5,2,5,3,5,3,,,,,,,,,,,,,,,,,,
2/6/2020 14:39,8/22/2019,59 - 60,59,"#6, Carlos sister",Conner,502_201908,7,Department of Sacatepéquez (Santa Maria de Jesus),14.489951,-90.709985,24,15-24,Female,5,1,0.2,1,0.2,Clothing factory,Clothing factory worker,,,1000 Q/15 days,1000,500,100,,Yes,,,250 Q a month,125,Yes,Cooking,Chores/housework,,,1,20%,they have a basic outlet,Metered electric connection to grid,40 Q a month (may be cell phone service cost),,5,,1,5,5,5,"13.b NA, 13.c No aceso, 13.f They go to the pila to get water",,,,Lighting,Cell phone charging,Cooking,,,,,,,,,,,"14. Hot plate, sewing machine - doesn't work, charge cell phone ever other day, 15. More economic, charge the phone/lights, possibly only pay 150 Q a month for lights."
2/6/2020 15:49,8/26/2019,43 - 44,43,#10,Estelle,502_201908,6,Department of Escuintla (Sipacate),,,54,25-54,Female,1,0,0,1,1,domestic/fruit,"Farming (plant/crops), Domestic work",,,300q/3 months,50,25,25,4. 1 (not working) 8. pension?,No,no tiene /access,,,,Yes,candle 0,Candles/disel lantern,"7-6 candles, 3 q/candle, 90 q/mes",45,0,0%,,,,,4,,3,,,,,,,,,,,,,Television/DVD/Radio,,,,,,,,15. Ras: - Radio
2/6/2020 15:36,8/26/2019,49 - 50,49,"#7, Down South (house on the side of the road (#1 of the day))",Estelle,502_201908,3,Department of Escuintla (Sipacate),,,36,25-54,Female,7,0,0,1,0.142857143,domestica,Domestic work,,,400q/semana,800,400,57.14285714,"1. kids (6,9,3) 7/sep/1982",No,,,,,,,,,,1,14%,neighbor,Borrowed electricity from neighbors/family,0,0,5,5,5,5,5,5,,,,,,,,,,,,,Lighting,,,,,
2/6/2020 15:39,8/26/2019,47 - 48,47,"#8, Down South, 2nd panel",Estelle,502_201908,4,Department of Escuintla (Sipacate),,,31,25-54,Female,5,1,0.2,1,0.2,agricultura,Farming (general/not specified),"working on african Palms, agro...",Farming (plant/crops),1200q/2w,1200,600,120,,No,,,,,No,,,,,1,20%,neighbors,Borrowed electricity from neighbors/family,free,0,5,5,1,3,5,3,,,,,,,,,,,,,,,,,,
2/6/2020 15:43,8/26/2019,45 - 46,45,#9 ,Estelle,502_201908,5,Department of Escuintla (Sipacate),,,32,25-54,Female,8,1,0.125,1,0.125,work,Worker,"domestica, agro","Farming (general/not specified), Domestic work",600q/mes,300,150,18.75,,No,,,,,Yes,candle light,Candles/disel lantern,,,2,25%,neighbor,Borrowed electricity from neighbors/family,X,0,4,4,4,4,4,3,,Television/DVD/Radio,,,,,Cooking,,,,,,,,,,,
